"","session_id","referrer","ContactGroup","Imagineddv"
"2784",2462516,"oxy","Contact group",6.25
"2785",2466207,"oxy","Control group",7
"2786",2467505,"oxy","Contact group",4.5
"2787",2468479,"oxy","Control group",6.75
"2788",2468498,"oxy","Control group",6.25
"2789",2468526,"oxy","Control group",6.5
"2790",2468562,"oxy","Control group",5.25
"2791",2470610,"oxy","Contact group",7.25
"2792",2472850,"oxy","Contact group",7
"2793",2472858,"oxy","Contact group",9
"2794",2473837,"oxy","Contact group",5.5
"2795",2474014,"oxy","Control group",5.75
"2796",2474020,"oxy","Contact group",4.5
"2797",2474056,"oxy","Control group",4
"2798",2474176,"oxy","Contact group",7
"2799",2474177,"oxy","Control group",5.5
"2800",2474189,"oxy","Control group",2.25
"2801",2474252,"oxy","Control group",6.5
"2802",2474254,"oxy","Control group",7
"2803",2477323,"oxy","Contact group",7.75
"2804",2477855,"oxy","Control group",6
"2805",2477933,"oxy","Contact group",8.75
"2806",2477938,"oxy","Control group",7
"2807",2478303,"oxy","Control group",8
"2808",2478307,"oxy","Control group",6.25
"2809",2478344,"oxy","Contact group",5.25
"2810",2478349,"oxy","Contact group",7.5
"2811",2479320,"oxy","Control group",8
"2812",2479506,"oxy","Contact group",4.5
"2813",2479520,"oxy","Contact group",5.75
"2814",2479543,"oxy","Contact group",8
"2815",2479549,"oxy","Contact group",4
"2816",2479567,"oxy","Control group",5
"2817",2479599,"oxy","Contact group",4
"2818",2480067,"oxy","Contact group",7
"2819",2480069,"oxy","Contact group",5
"2820",2480096,"oxy","Contact group",3.25
"2821",2480103,"oxy","Contact group",5.75
"2822",2480200,"oxy","Contact group",6.75
"2823",2480203,"oxy","Contact group",8
"2824",2480294,"oxy","Control group",6
"2825",2480312,"oxy","Control group",5.25
"2826",2480351,"oxy","Contact group",6.25
"2827",2480368,"oxy","Contact group",6.5
"2828",2480423,"oxy","Contact group",3.75
"2830",2482032,"oxy","Control group",4.75
"2831",2482046,"oxy","Control group",3.5
"2832",2482113,"oxy","Control group",4
"2833",2482637,"oxy","Contact group",6.25
"2834",2482713,"oxy","Contact group",4.75
"2835",2482718,"oxy","Contact group",7.75
"2836",2482744,"oxy","Contact group",6
"2837",2482764,"oxy","Control group",4.5
"2838",2482785,"oxy","Contact group",8.5
"2839",2482886,"oxy","Contact group",6
"2840",2482887,"oxy","Control group",4.25
"2841",2482889,"oxy","Control group",8.25
"2842",2483043,"oxy","Control group",7.25
"2843",2483379,"oxy","Control group",6
"2844",2483385,"oxy","Contact group",2.5
"2845",2484212,"oxy","Control group",7.75
"2846",2484256,"oxy","Contact group",8.25
"2847",2484273,"oxy","Contact group",7.5
"2848",2484301,"oxy","Control group",6
"2849",2484312,"oxy","Control group",6
"2850",2484316,"oxy","Control group",5.25
"2851",2484345,"oxy","Control group",3.75
"2852",2484429,"oxy","Contact group",5.25
"2853",2484440,"oxy","Control group",4
"2854",2484486,"oxy","Control group",5
"2855",2484488,"oxy","Control group",4.25
"2856",2484532,"oxy","Control group",7
"2857",2484632,"oxy","Control group",2.5
"2858",2484634,"oxy","Control group",7.5
"2859",2484656,"oxy","Contact group",8
"2860",2484661,"oxy","Control group",7
"2861",2484737,"oxy","Contact group",7.75
"2862",2484741,"oxy","Contact group",7
"2863",2484870,"oxy","Contact group",5
"2864",2484875,"oxy","Control group",4.5
"2865",2485179,"oxy","Contact group",4.25
"2866",2485308,"oxy","Control group",6.25
"2867",2485317,"oxy","Control group",6
"2868",2485321,"oxy","Control group",6.5
"2869",2485328,"oxy","Contact group",2.25
"2870",2485335,"oxy","Contact group",5.25
"2871",2485350,"oxy","Contact group",5.75
"2872",2485352,"oxy","Contact group",8.75
"2873",2485378,"oxy","Contact group",6.5
"2874",2485381,"oxy","Control group",7.25
"2875",2485408,"oxy","Control group",7
"2876",2485423,"oxy","Contact group",6.25
"2877",2485616,"oxy","Contact group",8
"2878",2486362,"oxy","Contact group",6
"2879",2486467,"oxy","Control group",6
"2880",2486468,"oxy","Control group",3.75
"2881",2486681,"oxy","Contact group",7.25
"2882",2486686,"oxy","Control group",5.5
"2883",2486705,"oxy","Contact group",7.5
"2884",2486762,"oxy","Control group",3.25
"2885",2487006,"oxy","Control group",7.75
"2886",2487036,"oxy","Control group",5.75
"2887",2487040,"oxy","Control group",8.25
"2888",2487042,"oxy","Control group",5.75
"2889",2487072,"oxy","Control group",5
"2890",2487074,"oxy","Contact group",6.25
"2891",2487113,"oxy","Contact group",6
"2892",2487115,"oxy","Control group",6
"2893",2487152,"oxy","Control group",4.75
"2894",2487187,"oxy","Contact group",5.25
"2895",2487188,"oxy","Control group",3
"2896",2487191,"oxy","Contact group",3.5
"2897",2487196,"oxy","Control group",5.5
"2898",2487219,"oxy","Control group",7.75
"2899",2487225,"oxy","Contact group",5.25
"2900",2487227,"oxy","Contact group",5.5
"2901",2487255,"oxy","Contact group",6.75
"2902",2487257,"oxy","Contact group",6.5
"2903",2487268,"oxy","Control group",7.75
"2904",2487272,"oxy","Control group",1.25
"2905",2487330,"oxy","Contact group",6
"2906",2496938,"oxy","Contact group",7.5
